gamePk,date,gameDate,season,gameType,status,statusCode,home_team_id,home_team_name,home_score,home_wins,home_losses,home_pct,home_is_winner,away_team_id,away_team_name,away_score,away_wins,away_losses,away_pct,away_is_winner,venue_id,venue_name,doubleHeader,gameNumber,dayNight,description,scheduledInnings,seriesGameNumber,gamesInSeries,attendance,attendance_high_for_date,attendance_low_for_date,is_doubleheader_date,home_jersey,home_pants,home_cap,home_jersey_code,away_jersey,away_pants,away_cap,away_jersey_code
778549,2025-03-28,2025-03-28T23:07:00Z,2025,R,Final,F,141,Toronto Blue Jays,8.0,1,1,.500,True,110,Baltimore Orioles,2.0,1,1,.500,False,14,Rogers Centre,N,1,night,,9,2,4,26289.0,26289.0,26289.0,False,Blue Jays City Connect Jersey,Blue Jays City Connect Pants,Blue Jays City Connect Hat,141_jersey_5_2025,Orioles Away Grey Jersey,Orioles Away Grey Pants,"Orioles Black Front Orange Bill ""Bird"" Hat",110_jersey_2_2025
778518,2025-03-28,2025-03-29T00:10:00Z,2025,R,Final,F,117,Houston Astros,1.0,1,1,.500,False,121,New York Mets,3.0,1,1,.500,True,2392,Daikin Park,N,1,night,,9,2,3,37004.0,37004.0,37004.0,False,Astros Alt Orange Jersey,Astros Home White Pants,Astros Primary All Blue Hat,117_jersey_3_2025,Mets Away Grey Jersey,Mets Away Grey Pants Blue/Orange Stripes,Mets Primary Blue Hat,121_jersey_2_2025
778560,2025-03-28,2025-03-28T20:10:00Z,2025,R,Final,F,139,Tampa Bay Rays,3.0,1,0,1.000,True,115,Colorado Rockies,2.0,0,1,.000,False,2523,George M. Steinbrenner Field,N,1,day,,9,1,3,10046.0,10046.0,10046.0,False,"Rays Home White Jersey (""Rays"")",Rays Home White Pants,"Rays Primary Navy Hat (""TB"")",139_jersey_1_2025,Rockies Alt Purple Jersey,Rockies Away Grey Pants,"Rockies Alt Black Top, Purple Bill Hat",115_jersey_3_2025
778548,2025-03-28,2025-03-28T23:10:00Z,2025,R,Final,F,146,Miami Marlins,3.0,1,1,.500,False,134,Pittsburgh Pirates,4.0,1,1,.500,True,4169,loanDepot park,N,1,night,,9,2,4,9838.0,9838.0,9838.0,False,Marlins Alt Black Jersey,Marlins Home White Pants,Marlins Primary Black Hat,146_jersey_3_2025,Pirates Road Grey Jersey,Pirates Road Grey Pants,Pirates Primary Black Hat,134_jersey_2_2025
778542,2025-03-28,2025-03-29T01:40:00Z,2025,R,Final,F,135,San Diego Padres,4.0,2,0,1.000,True,144,Atlanta Braves,3.0,0,2,.000,False,2680,Petco Park,N,1,night,,9,2,4,41058.0,41058.0,41058.0,False,Padres City Connect Jersey,Padres City Connect Pants,Padres City Connect Hat,135_jersey_5_2025,Braves Road Grey Jersey,Braves Road Grey Pants,Braves Alt All Navy Hat,144_jersey_2_2025
778544,2025-03-28,2025-03-29T02:10:00Z,2025,R,Final,F,119,Los Angeles Dodgers,8.0,4,0,1.000,True,116,Detroit Tigers,5.0,0,2,.000,False,22,Dodger Stadium,N,1,night,,9,2,3,52029.0,52029.0,52029.0,False,"Dodgers ""Gold Series"" Jersey","Dodgers ""Gold Series"" Pants",Dodgers Primary Blue Hat,119_jersey_6_2025,Tigers Away Grey Jersey,Tigers Away Grey Pants,"Tigers Alt Navy ""Orange D"" Hat",116_jersey_2_2025
778543,2025-03-28,2025-03-29T01:40:00Z,2025,R,Final,F,109,Arizona Diamondbacks,8.0,1,1,.500,True,112,Chicago Cubs,1.0,1,3,.250,False,15,Chase Field,N,1,night,,9,2,4,37449.0,37449.0,37449.0,False,Diamondbacks Home Cream Jersey,Diamondbacks Home Cream Pants,"Diamondbacks Red Top Black Bill ""A"" Hat",109_jersey_1_2025,Cubs Away Grey Jersey,Cubs Away Grey Pants,Cubs Primary Blue Hat,112_jersey_2_2025
778541,2025-03-28,2025-03-29T01:40:00Z,2025,R,Final,F,136,Seattle Mariners,0.0,1,1,.500,False,133,Athletics,7.0,1,1,.500,True,680,T-Mobile Park,N,1,night,,9,2,4,25061.0,25061.0,25061.0,False,Mariners City Connect Jersey,Mariners City Connect Pants,Mariners City Connect Hat,136_jersey_5_2025,Athletics Road Grey Jersey,Athletics Road Grey Pants,"Athletics Alt All Green Hat, Yellow Trim ""A's""",133_jersey_2_2025
778550,2025-03-28,2025-03-29T00:05:00Z,2025,R,Final,F,140,Texas Rangers,4.0,1,1,.500,True,111,Boston Red Sox,1.0,1,1,.500,False,5325,Globe Life Field,N,1,night,,9,2,4,26762.0,26762.0,26762.0,False,Rangers City Connect Jersey,Rangers City Connect Pants,Rangers City Connect Hat,140_jersey_5_2025,Red Sox Alt Red Jersey,Red Sox Away Grey Pants,"Red Sox Primary Blue ""B"" Hat",111_jersey_3_2025
778535,2025-03-29,2025-03-29T20:05:00Z,2025,R,Final,F,120,Washington Nationals,6.0,0,2,.000,False,143,Philadelphia Phillies,11.0,2,0,1.000,True,3309,Nationals Park,N,1,day,,9,2,3,38446.0,38446.0,38446.0,False,Nationals City Connect 2.0 Jersey,Nationals City Connect 2.0 Pants,Nationals City Connect 2.0 Hat,120_jersey_5_2025,Phillies Away Grey Jersey,Phillies Away Grey Pants,Phillies Primary Red Hat,143_jersey_2_2025
778537,2025-03-29,2025-03-29T20:10:00Z,2025,R,Final,F,139,Tampa Bay Rays,1.0,1,1,.500,False,115,Colorado Rockies,2.0,1,1,.500,True,2523,George M. Steinbrenner Field,N,1,day,,9,2,3,10046.0,10046.0,10046.0,False,"Rays Alt White ""Devil Rays"" Jersey",Rays Home White Pants,"Rays Alt Navy ""Devil Rays"" Hat (Devil ray on hat)",139_jersey_4_2025,Rockies Alt Purple Jersey,Rockies Away Grey Pants,"Rockies Alt Black Top, Purple Bill Hat",115_jersey_3_2025
778538,2025-03-29,2025-03-29T17:05:00Z,2025,R,Final,F,147,New York Yankees,20.0,2,0,1.000,True,158,Milwaukee Brewers,9.0,0,2,.000,False,3313,Yankee Stadium,N,1,day,,9,2,3,46683.0,46683.0,46683.0,False,Yankees Home Pinstripe Jersey,Yankees Home Pinstripe Pants,Yankees Primary Navy Hat,147_jersey_1_2025,Brewers Road Grey Jersey,Brewers Road Grey Pants,Brewers Alt Yellow Front Hat,158_jersey_2_2025
778528,2025-03-29,2025-03-29T18:15:00Z,2025,R,Final,F,138,St. Louis Cardinals,5.0,2,0,1.000,True,142,Minnesota Twins,1.0,0,2,.000,False,2889,Busch Stadium,N,1,day,,9,2,3,30712.0,30712.0,30712.0,False,Cardinals Alt Cream Jersey,Cardinals Alt Cream Pants,Cardinals Primary Red Hat,138_jersey_3_2025,Twins Away Grey Jersey,Twins Away Grey Pants,"Twins Alt Navy ""M"" Hat",142_jersey_2_2025
778536,2025-03-29,2025-03-29T19:07:00Z,2025,R,Final,F,141,Toronto Blue Jays,5.0,1,2,.333,False,110,Baltimore Orioles,9.0,2,1,.667,True,14,Rogers Centre,N,1,day,,9,3,4,27005.0,27005.0,27005.0,False,Blue Jays Alt All Blue Jersey,Blue Jays Home White Pants,Blue Jays Primary All Blue Hat,141_jersey_3_2025,Orioles Alt Orange Jersey,Orioles Away Grey Pants,"Orioles White Front Orange Bill ""Bird"" Hat",110_jersey_4_2025
778529,2025-03-29,2025-03-29T20:10:00Z,2025,R,Final,F,118,Kansas City Royals,4.0,1,1,.500,True,114,Cleveland Guardians,3.0,1,1,.500,False,7,Kauffman Stadium,N,1,day,,9,2,3,22019.0,22019.0,22019.0,False,Royals Alt Baby Blue Jersey,Royals Alt Baby Blue Pants,Royals Alt White Front R-Crown Hat,118_jersey_3_2025,Guardians Alt Blue Jersey,Guardians Away Grey Pants,"Guardians Blue Top, Red Bill ""C"" Hat",114_jersey_4_2025
778534,2025-03-29,2025-03-29T18:10:00Z,2025,R,Final,F,145,Chicago White Sox,0.0,1,1,.500,False,108,Los Angeles Angels,1.0,1,1,.500,True,4,Rate Field,N,1,day,,9,2,3,20602.0,20602.0,20602.0,False,White Sox Home Pinstripe Jersey,White Sox Home White Pinstripe Pants,White Sox Primary Black Hat,145_jersey_1_2025,Angels Away Grey Jersey,Angels Away Grey Pants,"Angels Primary Red ""A"" Hat",108_jersey_2_2025
778539,2025-03-29,2025-03-29T20:10:00Z,2025,R,Final,F,146,Miami Marlins,5.0,2,1,.667,True,134,Pittsburgh Pirates,4.0,1,2,.333,False,4169,loanDepot park,N,1,day,,9,3,4,10207.0,10207.0,10207.0,False,Marlins Alt Black Jersey,Marlins Home White Pants,Marlins Primary Black Hat,146_jersey_3_2025,Pirates Road Grey Jersey,Pirates Road Grey Pants,Pirates Primary Black Hat,134_jersey_2_2025
778531,2025-03-29,2025-03-29T23:05:00Z,2025,R,Final,F,140,Texas Rangers,4.0,2,1,.667,True,111,Boston Red Sox,3.0,1,2,.333,False,5325,Globe Life Field,N,1,night,,9,3,4,32251.0,32251.0,32251.0,False,Rangers Home White Jersey,Rangers Home White Pants,Rangers Primary All Blue Hat,140_jersey_1_2025,Red Sox Away Grey Jersey,Red Sox Away Grey Pants,"Red Sox Primary Blue ""B"" Hat",111_jersey_2_2025
778530,2025-03-29,2025-03-29T23:15:00Z,2025,R,Final,F,117,Houston Astros,2.0,2,1,.667,True,121,New York Mets,1.0,1,2,.333,False,2392,Daikin Park,N,1,night,,9,3,3,41742.0,41742.0,41742.0,False,Astros Home White Jersey,Astros Home White Pants,Astros Primary All Blue Hat,117_jersey_1_2025,Mets Away Grey Jersey,Mets Away Grey Pants Blue/Orange Stripes,Mets Primary Blue Hat,121_jersey_2_2025
778520,2025-03-29,2025-03-29T23:15:00Z,2025,R,Final,F,135,San Diego Padres,1.0,3,0,1.000,True,144,Atlanta Braves,0.0,0,3,.000,False,2680,Petco Park,N,1,day,,9,3,4,40587.0,40587.0,40587.0,False,Padres Home White Pinstripe Jersey,Padres Home White Pinstripe Pants,Padres Primary All Brown Hat,135_jersey_1_2025,Braves Alt Navy Jersey,Braves Road Grey Pants,Braves Alt All Navy Hat,144_jersey_4_2025
778521,2025-03-29,2025-03-30T01:40:00Z,2025,R,Final,F,136,Seattle Mariners,2.0,1,2,.333,False,133,Athletics,4.0,2,1,.667,True,680,T-Mobile Park,N,1,night,,9,3,4,35264.0,35264.0,35264.0,False,Mariners Home White Jersey,Mariners Home White Pants,Mariners All Navy Hat,136_jersey_1_2025,Athletics Road Grey Jersey,Athletics Road Grey Pants,"Athletics Alt All Green Hat, Yellow Trim ""A's""",133_jersey_2_2025
778532,2025-03-29,2025-03-30T00:10:00Z,2025,R,Final,F,109,Arizona Diamondbacks,3.0,1,2,.333,False,112,Chicago Cubs,4.0,2,3,.400,True,15,Chase Field,N,1,night,,9,3,4,36407.0,36407.0,36407.0,False,Diamondbacks Alt Black Jersey,Diamondbacks Home Cream Pants,"Diamondbacks Alt All Black ""A"" Hat",109_jersey_3_2025,Cubs Alt Blue Jersey,Cubs Away Grey Pants,Cubs Primary Blue Hat,112_jersey_3_2025
778533,2025-03-29,2025-03-30T01:10:00Z,2025,R,Final,F,119,Los Angeles Dodgers,7.0,5,0,1.000,True,116,Detroit Tigers,3.0,0,3,.000,False,22,Dodger Stadium,N,1,night,,9,3,3,51788.0,51788.0,51788.0,False,Dodgers Home White Jersey,Dodgers Home White Pants,Dodgers Primary Blue Hat,119_jersey_1_2025,Tigers Away Grey Jersey,Tigers Away Grey Pants,"Tigers Alt Navy ""Orange D"" Hat",116_jersey_2_2025
778540,2025-03-29,2025-03-29T20:10:00Z,2025,R,Final,F,113,Cincinnati Reds,3.0,1,1,.500,True,137,San Francisco Giants,2.0,1,1,.500,False,2602,Great American Ball Park,N,1,day,,9,2,3,40200.0,40200.0,40200.0,False,"Reds Alt Red ""Reds"" Script Jersey",Reds Home White Pants,"Reds Primary All Red ""C"" Hat",113_jersey_3_2025,Giants Away Grey Jersey,Giants Away Grey Pants,Giants Primary All Black Hat,137_jersey_2_2025
778510,2025-03-30,2025-03-30T18:10:00Z,2025,R,Final,F,118,Kansas City Royals,2.0,1,2,.333,False,114,Cleveland Guardians,6.0,2,1,.667,True,7,Kauffman Stadium,N,1,day,,9,3,3,15414.0,15414.0,15414.0,False,Royals Alt Baby Blue Jersey,Royals Home White Pants,Royals Primary Blue Hat,118_jersey_3_2025,Guardians Away Grey Jersey,Guardians Away Grey Pants,"Guardians Blue Top, Red Bill ""C"" Hat",114_jersey_2_2025
778523,2025-03-30,2025-03-30T17:35:00Z,2025,R,Final,F,147,New York Yankees,12.0,3,0,1.000,True,158,Milwaukee Brewers,3.0,0,3,.000,False,3313,Yankee Stadium,N,1,day,,9,3,3,41803.0,41803.0,41803.0,False,Yankees Home Pinstripe Jersey,Yankees Home Pinstripe Pants,Yankees Primary Navy Hat,147_jersey_1_2025,Brewers Alt Blue Jersey,Brewers Road Grey Pants,Brewers Alt Yellow Front Hat,158_jersey_4_2025
778525,2025-03-30,2025-03-30T17:37:00Z,2025,R,Final,F,141,Toronto Blue Jays,3.0,2,2,.500,True,110,Baltimore Orioles,1.0,2,2,.500,False,14,Rogers Centre,N,1,day,,9,4,4,21069.0,21069.0,21069.0,False,Blue Jays Alt Baby Blue Jersey,Blue Jays Alt Baby Blue Pants,Blue Jays Alt Baby Blue Bill Hat,141_jersey_4_2025,Orioles Away Grey Jersey,Orioles Away Grey Pants,"Orioles Black Front Orange Bill ""Bird"" Hat",110_jersey_2_2025
778522,2025-03-30,2025-03-30T17:40:00Z,2025,R,Final,F,113,Cincinnati Reds,3.0,1,2,.333,False,137,San Francisco Giants,6.0,2,1,.667,True,2602,Great American Ball Park,N,1,day,,9,3,3,14089.0,14089.0,14089.0,False,Reds Home White Jersey,Reds Home White Pants,"Reds Primary All Red ""C"" Hat",113_jersey_1_2025,Giants Away Grey Jersey,Giants Away Grey Pants,Giants Primary All Black Hat,137_jersey_2_2025
778524,2025-03-30,2025-03-30T17:40:00Z,2025,R,Final,F,139,Tampa Bay Rays,6.0,2,1,.667,True,115,Colorado Rockies,4.0,1,2,.333,False,2523,George M. Steinbrenner Field,N,1,day,,9,3,3,10046.0,10046.0,10046.0,False,"Rays Home White Jersey (""Rays"")",Rays Home White Pants,"Rays Primary Navy Hat (""TB"")",139_jersey_1_2025,Rockies Alt Purple Jersey,Rockies Away Grey Pants,"Rockies Alt Black Top, Purple Bill Hat",115_jersey_3_2025
778526,2025-03-30,2025-03-30T17:35:00Z,2025,R,Final,F,120,Washington Nationals,5.0,1,2,.333,True,143,Philadelphia Phillies,1.0,2,1,.667,False,3309,Nationals Park,N,1,day,,9,3,3,28075.0,28075.0,28075.0,False,Nationals City Connect 2.0 Jersey,Nationals City Connect 2.0 Pants,Nationals City Connect 2.0 Hat,120_jersey_5_2025,Phillies Away Grey Jersey,Phillies Away Grey Pants,Phillies Primary Red Hat,143_jersey_2_2025
778527,2025-03-30,2025-03-30T18:10:00Z,2025,R,Final,F,145,Chicago White Sox,2.0,1,2,.333,False,108,Los Angeles Angels,3.0,2,1,.667,True,4,Rate Field,N,1,day,,9,3,3,19591.0,19591.0,19591.0,False,White Sox Home Pinstripe Jersey,White Sox Home White Pinstripe Pants,White Sox Primary Black Hat,145_jersey_1_2025,Angels Alt Red Jersey,Angels Away Grey Pants,"Angels Primary Red ""A"" Hat",108_jersey_3_2025
778516,2025-03-30,2025-03-30T18:35:00Z,2025,R,Final,F,140,Texas Rangers,3.0,3,1,.750,True,111,Boston Red Sox,2.0,1,3,.250,False,5325,Globe Life Field,N,1,day,,9,4,4,29137.0,29137.0,29137.0,False,Rangers Alt Baby Blue Jersey,Rangers Alt Baby Blue Pants,Rangers Alt Baby Blue Hat,140_jersey_3_2025,Red Sox Away Grey Jersey,Red Sox Away Grey Pants,"Red Sox Primary Blue ""B"" Hat",111_jersey_2_2025
778515,2025-03-30,2025-03-30T20:10:00Z,2025,R,Final,F,109,Arizona Diamondbacks,10.0,2,2,.500,True,112,Chicago Cubs,6.0,2,4,.333,False,15,Chase Field,N,1,day,,9,4,4,39145.0,39145.0,39145.0,False,Diamondbacks Alt Red Jersey,Diamondbacks Home Cream Pants,"Diamondbacks Alt All Red ""D"" Hat",109_jersey_4_2025,Cubs Alt Blue Jersey,Cubs Away Grey Pants,Cubs Primary Blue Hat,112_jersey_3_2025
778513,2025-03-30,2025-03-30T20:10:00Z,2025,R,Final,F,136,Seattle Mariners,2.0,2,2,.500,True,133,Athletics,1.0,2,2,.500,False,680,T-Mobile Park,N,1,day,,9,4,4,27696.0,27696.0,27696.0,False,Mariners Alt Cream Jersey,Mariners Alt Cream Pants,"Mariners Royal Blue, Yellow ""S"" Hat",136_jersey_3_2025,Athletics Road Grey Jersey,Athletics Road Grey Pants,"Athletics Alt All Green Hat, White ""A's""",133_jersey_2_2025
778514,2025-03-30,2025-03-30T23:10:00Z,2025,R,Final,F,135,San Diego Padres,5.0,4,0,1.000,True,144,Atlanta Braves,0.0,0,4,.000,False,2680,Petco Park,N,1,day,,9,4,4,41269.0,41269.0,41269.0,False,Padres Alt Sand Camoflauge Jersey,Padres White Pants,Padres Primary All Brown Hat,135_jersey_6_2025,Braves Road Grey Jersey,Braves Road Grey Pants,Braves Alt All Navy Hat,144_jersey_2_2025
778517,2025-03-30,2025-03-30T18:15:00Z,2025,R,Final,F,138,St. Louis Cardinals,9.0,3,0,1.000,True,142,Minnesota Twins,2.0,0,3,.000,False,2889,Busch Stadium,N,1,day,,9,3,3,26923.0,26923.0,26923.0,False,Cardinals Home White Jersey,Cardinals Home White Pants,"Cardinals Navy Top Red Bill ""Bird on Bat"" Hat",138_jersey_1_2025,Twins Away Grey Jersey,Twins Away Grey Pants,"Twins Alt Navy ""M"" Hat",142_jersey_2_2025
778519,2025-03-30,2025-03-30T17:40:00Z,2025,R,Final,F,146,Miami Marlins,3.0,3,1,.750,True,134,Pittsburgh Pirates,2.0,1,3,.250,False,4169,loanDepot park,N,1,day,,9,4,4,15490.0,15490.0,15490.0,False,Marlins Alt Blue Jersey,Marlins Home White Pants,Marlins Primary Black Hat,146_jersey_4_2025,Pirates Road Grey Jersey,Pirates Road Grey Pants,Pirates Primary Black Hat,134_jersey_2_2025
778506,2025-03-31,2025-03-31T18:10:00Z,2025,R,Final,F,145,Chicago White Sox,9.0,2,2,.500,True,142,Minnesota Twins,0.0,0,4,.000,False,4,Rate Field,N,1,day,,9,1,3,10423.0,10423.0,10423.0,False,White Sox Home Pinstripe Jersey,White Sox Home White Pinstripe Pants,White Sox Primary Black Hat,145_jersey_1_2025,Twins Away Grey Jersey,Twins Away Grey Pants,"Twins Alt Navy ""M"" Hat",142_jersey_2_2025
778504,2025-03-31,2025-03-31T18:10:00Z,2025,R,Final,F,158,Milwaukee Brewers,1.0,0,4,.000,False,118,Kansas City Royals,11.0,2,2,.500,True,32,American Family Field,N,1,day,Brewers home opener,9,1,3,41922.0,41922.0,41922.0,False,Brewers Home Cream Jersey,Brewers Home Cream Pants,Brewers Primary All Navy Hat,158_jersey_1_2025,Royals Alt Baby Blue Jersey,Royals Alt Baby Blue Pants,Royals Alt White Front R-Crown Hat,118_jersey_3_2025
778512,2025-03-31,2025-03-31T18:35:00Z,2025,R,Final,F,110,Baltimore Orioles,8.0,3,2,.600,True,111,Boston Red Sox,5.0,1,4,.200,False,2,Oriole Park at Camden Yards,N,1,day,Orioles home opener,9,1,3,45002.0,45002.0,45002.0,False,Orioles Home White Jersey,Orioles Home White Pants,"Orioles White Front Orange Bill ""Bird"" Hat",110_jersey_1_2025,Red Sox Away Grey Jersey,Red Sox Away Grey Pants,"Red Sox Primary Blue ""B"" Hat",111_jersey_2_2025
